"Date","E","P","Temp","Q"
"1/3/2019 12:00",1.8,0,4.061,0.05
"1/4/2019 12:00",1.89,0,4.206,0.05
"1/5/2019 12:00",1.95,0,4.586,0.05
"1/6/2019 12:00",1.78,0,6.174,0.05
"1/7/2019 12:00",1.8,0,9.86,0.05
"1/8/2019 12:00",1.8,0,11.57,0.05
"1/9/2019 12:00",1.8,0,7.845,0.05
"1/10/2019 12:00",1.8,0,8.37,0.05
"1/11/2019 12:00",1.7653,0,11.79,0.04
"1/12/2019 12:00",1.7507,0,12.39,0.04
"1/13/2019 12:00",1.9616,0.508,5.855,0.225
"1/14/2019 12:00",1.7054,3.302,-0.231,0.175
"1/15/2019 12:00",1.5305,3.556,-2.75,0.13
"1/16/2019 12:00",1.3445,2.286,-3.604,0.065
"1/17/2019 12:00",1.6311,1.27,-3.002,0.065
"1/18/2019 12:00",1.8315,2.286,-1.469,0.065
"1/19/2019 12:00",1.2505,0,2.864,0.065
"1/20/2019 12:00",1.3344,0,8.39,0.065
"1/21/2019 12:00",1.5515,0,10.44,0.065
"1/22/2019 12:00",2.5024,0,11.32,0.065
"1/23/2019 12:00",1.3357,0,9.19,0.065
"1/24/2019 12:00",1.0608,0,5.826,0.065
"1/25/2019 12:00",1.1368,0,5.459,0.065
"1/26/2019 12:00",1.72,0,7.4,0.05
"1/27/2019 12:00",0.8035,0,9.63,0.05
"1/28/2019 12:00",0.7472,0,7.189,0.05
"1/29/2019 12:00",0.8802,0,3.691,0.065
"1/30/2019 12:00",1.3669,8.89,-0.29,0.065
"1/31/2019 12:00",1.58,3.81,-1.258,0.065
"2/1/2019 12:00",1.7161,0,3.326,0.065
"2/2/2019 12:00",1.5196,0,9.01,0.065
"2/3/2019 12:00",0.7984,0,5.574,0.065
"2/4/2019 12:00",0.6156,0,4.587,0.065
"2/5/2019 12:00",1.4979,0,6.691,0.065
"2/6/2019 12:00",0.9807,0,6.086,0.065
"2/7/2019 12:00",0.7494,0,6.365,0.065
"2/8/2019 12:00",0.7785,0,8.74,0.065
"2/9/2019 12:00",0.6168,0,9.65,0.065
"2/10/2019 12:00",0.5381,0,10.51,0.065
"2/11/2019 12:00",0.494,0,9.54,0.065
"2/12/2019 12:00",0.6499,0,8.43,0.05
"2/13/2019 12:00",1.3541,0,8.3,0.05
"2/14/2019 12:00",0.9814,0,9,0.05
"2/15/2019 12:00",0.7571,0,8.53,0.05
"2/16/2019 12:00",0.869,0,7.365,0.05
"2/17/2019 12:00",1.2378,0,5.591,0.05
"2/18/2019 12:00",1.7729,0,3.983,0.05
"2/19/2019 12:00",2.2881,0,-0.881,0.05
"2/20/2019 12:00",1.4619,0,3.603,0.05
"2/21/2019 12:00",0.9923,0,6.654,0.05
"2/22/2019 12:00",1.1767,0,7.352,0.04
"2/23/2019 12:00",0.9972,0,1.1,0.04
"2/24/2019 12:00",0.6706,0,-0.7,0.04
"2/25/2019 12:00",0.4424,0,0.7,0.04
"2/26/2019 12:00",0.432,0,0,0.04
"2/27/2019 12:00",0.432,0,1.2,0.04
"2/28/2019 12:00",0.7169,0,-3.7,0.04
"3/1/2019 12:00",1.7517,0,-4.6,0.04
"3/2/2019 12:00",2.2285,0,-3.1,0.04
"3/3/2019 12:00",2.0057,0,-1.1,0.04
"3/4/2019 12:00",2.0426,0,-0.9,0.04
"3/5/2019 12:00",2.0981,0,2.2,0.04
"3/6/2019 12:00",2.1343,0,0.7,0.04
"3/7/2019 12:00",2.4753,0,1.1,0.04
"3/8/2019 12:00",1.3949,0,3.6,0.13
"3/9/2019 12:00",1.6528,0,2.4,0.13
"3/10/2019 12:00",1.2143,0,-1,0.065
"3/11/2019 12:00",0.3587,0,-1.8,0.05
"3/12/2019 12:00",0.3395,0,-4.9,0.05
"3/13/2019 12:00",0.2991,0,3.3,0.05
"3/14/2019 12:00",0.3314,0,3,0.05
"3/15/2019 12:00",0.3303,0,-9.3,0.05
"3/16/2019 12:00",0.3094,0,-4.1,0.05
"3/17/2019 12:00",0.2972,0,-1.9,0.05
"3/18/2019 12:00",0.8208,0.3,-4,0.05
"3/19/2019 12:00",0.4109,0,-6.3,0.05
"3/20/2019 12:00",0.42,0,-11.5,0.05
"3/21/2019 12:00",1.0199,0,-10.5,0.05
"3/22/2019 12:00",0.8871,0,-9.3,0.05
"3/23/2019 12:00",1.087,0,-13.6,0.05
"3/24/2019 12:00",1.1185,0,-13.8,0.05
"3/25/2019 12:00",0.3241,0,-12.4,0.05
"3/26/2019 12:00",0.2635,0,-8.9,0.05
"3/27/2019 12:00",0.2907,0,-4.3,0.05
"3/28/2019 12:00",0.3015,1.5,-4.7,0.05
"3/29/2019 12:00",0.288,15.2,-5.6,0.05
"3/30/2019 12:00",0.2881,0,-5,0.05
"3/31/2019 12:00",0.4164,0,-4.7,0.05
"4/1/2019 12:00",0.288,0,-3.3,0.05
"4/2/2019 12:00",0.288,0,-1.1,0.05
"4/3/2019 12:00",0.362,0,-0.3,0.05
"4/4/2019 12:00",0.5213,0,2.6,0.05
"4/5/2019 12:00",0.4156,0,3,0.05
"4/6/2019 12:00",0.3614,0,2.9,0.05
"4/7/2019 12:00",0.3058,0,-0.8,0.05
"4/8/2019 12:00",0.3213,0,-0.6,0.05
"4/9/2019 12:00",0.3281,0,1.8,0.05
"4/10/2019 12:00",0.4129,0,2,0.05
"4/11/2019 12:00",0.4314,0,2.6,0.05
"4/12/2019 12:00",0.4133,0,0.5,0.05
"4/13/2019 12:00",0.2981,0,0.7,0.05
"4/14/2019 12:00",0.35,0,-0.1,0.05
"4/15/2019 12:00",0.4677,0,-0.3,0.05
"4/16/2019 12:00",0.4094,0,-1,0.05
"4/17/2019 12:00",0.388,0,-1.2,0.05
"4/18/2019 12:00",0.2822,0,-0.3,0.04
"4/19/2019 12:00",0.3743,0,0.3,0.04
"4/20/2019 12:00",0.2894,0,1.6,0.04
"4/21/2019 12:00",0.2888,0,2.3,0.04
"4/22/2019 12:00",0.3833,0,2.5,0.04
"4/23/2019 12:00",0.432,0,-1.3,0.04
"4/24/2019 12:00",0.3924,0,-1.5,0.04
"4/25/2019 12:00",0.3884,0,-3,0.04
"4/26/2019 12:00",0.432,0,-1.4,0.04
"4/27/2019 12:00",0.432,0,0.1,0.04
"4/28/2019 12:00",0.4285,0,0.3,0.04
"4/29/2019 12:00",0.4338,0,0.9,0.05
"4/30/2019 12:00",0.4424,0,2.5,0.05
"5/1/2019 12:00",0.4604,0,1.8,0.065
"5/2/2019 12:00",0.432,0,2,0.175
"5/3/2019 12:00",0.3721,0,1.9,0.175
"5/4/2019 12:00",0.386,0,-0.8,0.13
"5/5/2019 12:00",0.517,0,-1.5,0.13
"5/6/2019 12:00",0.7922,0,-2.1,0.175
"5/7/2019 12:00",0.4752,2.3,-1.6,0.175
"5/8/2019 12:00",0.3757,15.5,-0.4,0.175
"5/9/2019 12:00",0.3275,12.4,-0.8,0.175
"5/10/2019 12:00",0.3882,13.7,-0.6,0.175
"5/11/2019 12:00",0.4128,9.4,-1.3,0.225
"5/12/2019 12:00",0.3447,0.3,-6.2,0.175
"5/13/2019 12:00",0.3095,0.8,-6.6,0.13
"5/14/2019 12:00",0.4038,0.5,-7,0.09
"5/15/2019 12:00",0.7717,0.3,-7.5,0.09
"5/16/2019 12:00",0.9439,0.5,-7.3,0.09
"5/17/2019 12:00",0.7343,0.3,-6.7,0.065
"5/18/2019 12:00",0.4612,0,-2.6,0.065
"5/19/2019 12:00",0.5893,0,-1.4,0.065
"5/20/2019 12:00",0.5422,0,-1.4,0.065
"5/21/2019 12:00",0.7563,0,-0.6,0.065
"5/22/2019 12:00",0.8202,0,-0.3,0.065
"5/23/2019 12:00",0.8472,0,-0.6,0.065
"5/24/2019 12:00",0.7154,0.3,0.4,0.09
"5/25/2019 12:00",0.4664,0.3,5.2,0.065
"5/26/2019 12:00",0.4493,0,4.6,0.065
"5/27/2019 12:00",0.4719,0,2.7,0.065
"5/28/2019 12:00",0.4395,0,-0.8,0.13
"5/29/2019 12:00",0.4516,5.6,-1.3,0.13
"5/30/2019 12:00",0.5585,0,1.8,0.13
"5/31/2019 12:00",1.1203,0,4.7,0.13
"6/1/2019 12:00",1.0924,0,5,0.13
"6/2/2019 12:00",1.0207,0,6.8,0.175
"6/3/2019 12:00",1.1933,0,5.5,0.175
"6/4/2019 12:00",0.8406,0,5,0.175
"6/5/2019 12:00",1.4421,0,4.3,0.175
